1280	7063	Диамантите на Рурк	Диамантите на Рурк	Филип Финч	Филип Финч
1281	1123	Лице в лице	Лице в лице	Филип Финч	Филип Финч
1282	1830	Тай хорс	Тай Хорс	Уилям Дийл	Уилям Дийл
1283	1830	Тай хорс	Тай Хорс	Уилям Дийл	Уилям Дийл
1284	1252	Кери	Кери	Стивън Кинг	Стивън Кинг
1285	2161	Проклятието	Проклятието	Стивън Кинг	Стивън Кинг
1286	1255	Очите на дракона	Очите на дракона	Стивън Кинг	Стивън Кинг
1289	112	Четири след полунощ	Четири след полунощ	Стивън Кинг	Стивън Кинг
1290	3251	Драконови сълзи	Драконови сълзи	Дийн Кунц	Дийн Кунц
1291	2185	Древният враг	Древният враг	Дийн Кунц	Дийн Кунц
1293	2954	Джулия	Джулия	Питър Строб	Питър Строб
1294	112	Четири след полунощ	Четири след полунощ	Стивън Кинг	Стивън Кинг
1302	920	Главата на професор Доуел	Главата на професор Доуел	Александър Беляев	Александър Беляев
1303	2940	Лунен прах	Лунен прах	Артър Кларк	Артър Кларк
1304	1247	Непобедимият	Непобедимият	Станислав Лем	Станислав Лем
1315	1028	Часът на бика	Часът на Бика	Иван Ефремов	Иван Ефремов
1319	5884	Костите на Мерлин	Костите на Мерлин	Фред Саберхаген	Фред Саберхаген
1321	2167	Играта на Джералд	Играта на Джералд	Стивън Кинг	Стивън Кинг
1328	6277	Предчувствието	Предчувствието	Ендрю Лоурънс	Ендрю Лоурънс
1329	6278	Астрална връзка	Астрална връзка	Ендрю Лоурънс	Ендрю Лоурънс
1330	6279	Нероденото	Нероденото	Ендрю Лоурънс	Ендрю Лоурънс
1331	5109	Луната	Луната	Джеймс Хърбърт	Джеймс Хърбърт
1333	4734	Лицата на огъня	Лицата на огъня	Майкъл Ян Фрийдман	Майкъл Ян Фрийдман
1334	5404	Проход между световете	Проход между световете	Питър Дейвид	Питър Дейвид
1335	3031	Еманципирана магия	Еманципирана магия	Тери Пратчет	Тери Пратчет
1336	3031	Еманципирана магия	Еманципирана магия	Тери Пратчет	Тери Пратчет
1340	1168	Последен патрул	Последен патрул	Сергей Лукяненко	Сергей Лукяненко
1341	7789	Нов патрул	Нов патрул	Сергей Лукяненко	Сергей Лукяненко
1346	5405	Наследство	Наследство	Майкъл Ян Фрийдман	Майкъл Ян Фрийдман
1349	53	1984	1984	Джордж Оруел	Джордж Оруел
1360	1209	Капитан Немо	Капитан Немо	Жул Верн	Жул Верн
1362	1481	Скарамуш	Скарамуш	Рафаел Сабатини	Рафаел Сабатини
1363	40	Роб Рой	Роб Рой	Уолтър Скот	Уолтър Скот
1364	1434	Север против юг	Север против Юг	Жул Верн	Жул Верн
1366	2012	Ловецът на елени	Ловецът на елени	Джеймс Фенимор Купър	Джеймс Фенимор Купър
1376	941	Всичко живо е трева	Всичко живо е трева	Клифърд Саймък	Клифърд Саймък
